Puissance;PoidsAVide;ConsoMixte;CO2;Energie
148;1445;6.973;158;ESSENCE
265;1920;8.692;197.7;ESS+ELEC HNR
135;1715;6.542;149;ESS+ELEC HNR
131;1430;5.902;134.7;ESSENCE
100;1350;5.585;127.3;ESSENCE
243;2225;2.2;50.8;ELEC+ESSENC HR
100;1430;6.289;143.1;ESSENCE
67;1154;5.763;130;ESS+G.P.L.
74;1154;7.047;113.56;ESS+G.P.L.
375;2010;10.461;238;ESSENCE
131;1390;5.902;134.7;ESSENCE
103;1336;5.817;131.35;ESS+ELEC HNR
75;1475;6.675;151.1;ESSENCE
49;1015;5.182;117;ESSENCE
250;2005;6.501;170.2;GAZ+ELEC HNR
74;1173;4.092;107.3;GAZOLE
131;1280;5.803;131.9;ESSENCE
265;1920;8.692;197.7;ESS+ELEC HNR
96;1448;4.887;128.14;GAZOLE
74;1173;4.092;107.3;GAZOLE
131;1470;6.445;146.8;ESSENCE
324;2225;2.1;47.5;ELEC+ESSENC HR
135;1620;6.564;149.1;ESSENCE
131;1390;5.902;134.7;ESSENCE
110;1342;5.647;128.4;ESSENCE
103;1505;6.323;143;ESSENCE
75;1210;5.34;121.4;ESSENCE
100;1430;6.228;141.6;ESSENCE
80;1320;5.626;128.4;ESSENCE
81;1290;5.263;119.4;ESSENCE
131;1595;5.265;119.27;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
112;1626;5.413;124.03;ESS+ELEC HNR
85;1465;4.844;126.8;GAZOLE
353;1545;10.493;238;ESSENCE
221;1109;6.755;153.21;ESSENCE
140;1680;5.571;146;GAZOLE
131;1280;5.803;131.9;ESSENCE
74;1090;4.853;108.97;ESSENCE
116;1298;5.809;131.27;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
135;1490;6.206;140.9;ESSENCE
96;1475;6.618;149.78;ESSENCE
110;1283;5.677;128.1;ESSENCE
110;1342;6.414;145.8;ESSENCE
131;1480;6.359;144.8;ESSENCE
135;1715;6.542;149;ESS+ELEC HNR
140;1760;5.038;132;GAZ+ELEC HNR
150;1655;6.422;144.8;ESS+ELEC HNR
96;1538;4.956;129.96;GAZOLE
75;1420;6.157;140.3;ESSENCE
100;1320;5.577;127.1;ESSENCE
100;1430;6.228;141.6;ESSENCE
96;1475;6.618;149.78;ESSENCE
100;1320;5.577;127.1;ESSENCE
140;1760;5.038;132;GAZ+ELEC HNR
110;1963;6.817;178.92;GAZOLE
73.5;1120;5.381;122;ESSENCE
120;1825;1.376;31.01;ELEC+ESSENC HR
110;1757;6.13;160.6;GAZOLE
100;1290;5.585;127.3;ESSENCE
85;1495;4.991;130.7;GAZOLE
133;1420;6.432;145.47;ESSENCE
110;1605;5.374;140.8;GAZOLE
131;1390;5.902;134.7;ESSENCE
110;1510;4.949;129.5;GAZOLE
103;1528;6.499;147;ESSENCE
131;1470;6.445;146.8;ESSENCE
85;1440;4.858;127.3;GAZOLE
90;1646;4.894;128.3;GAZOLE
100;1175;5.437;123.5;ESSENCE
110;1471;6.392;144.2;ESSENCE
75;1390;6.084;139;ESSENCE
100;1320;5.577;127.1;ESSENCE
139;1848;6.09;160;GAZOLE
69.9;1114;7.052;115.51;SUPERETHANOL
75;1180;5.418;123.2;ESSENCE
133;1760;1.271;28.71;ELEC+ESSENC HR
100;1430;6.228;141.6;ESSENCE
117.5;1382;5.549;125.7;ESS+ELEC HNR
67;1221;5.697;128.57;ESSENCE
147;1850;5.383;141;GAZ+ELEC HNR
81;1260;4.087;107.05;GAZOLE
140;1680;5.571;146;GAZOLE
110.1;1491;6.308;142.83;ESS+ELEC HNR
81;1090;5.632;127.05;ESSENCE
140;1745;5.868;153.8;GAZOLE
140;1705;4.784;125.3;GAZ+ELEC HNR
92;1284;6.114;139.36;ESSENCE
85;1330;4.719;123.54;GAZOLE
75;1360;6.04;137.6;ESSENCE
250;2020;6.501;170.2;GAZ+ELEC HNR
75;1235;5.418;123.2;ESSENCE
